%6|1775007018.543|FAIL|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Disconnected: connection reset by peer (after 11ms in state APIVERSION_QUERY)
%6|1775007018.709|FAIL|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Disconnected: connection reset by peer (after 0ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
Produced: {'sensor_id': 'reactor_core', 'temp': 1157.6970199769705}
Produced: {'sensor_id': 'reactor_core', 'temp': 1027.201648146478}
Produced: {'sensor_id': 'reactor_core', 'temp': 1373.6579151581136}
Produced: {'sensor_id': 'reactor_core', 'temp': 712.5779035686752}
Produced: {'sensor_id': 'reactor_core', 'temp': 945.9544404763164}
Produced: {'sensor_id': 'reactor_core', 'temp': 717.4570547345363}
Produced: {'sensor_id': 'reactor_core', 'temp': 1194.351977585869}
Produced: {'sensor_id': 'reactor_core', 'temp': 835.1078192252539}
Produced: {'sensor_id': 'reactor_core', 'temp': 1339.606170702095}
Produced: {'sensor_id': 'reactor_core', 'temp': 1155.3781560377865}
Produced: {'sensor_id': 'reactor_core', 'temp': 1218.494553283077}
Produced: {'sensor_id': 'reactor_core', 'temp': 564.7574950568969}
Produced: {'sensor_id': 'reactor_core', 'temp': 1135.5261627949878}
Produced: {'sensor_id': 'reactor_core', 'temp': 1110.738652697086}
Produced: {'sensor_id': 'reactor_core', 'temp': 1366.8974522804056}
Produced: {'sensor_id': 'reactor_core', 'temp': 718.1768679604362}
Produced: {'sensor_id': 'reactor_core', 'temp': 1373.8904497385975}
Produced: {'sensor_id': 'reactor_core', 'temp': 1229.1116329642782}
Produced: {'sensor_id': 'reactor_core', 'temp': 1031.8135120850616}
Produced: {'sensor_id': 'reactor_core', 'temp': 1402.3010464031354}
Produced: {'sensor_id': 'reactor_core', 'temp': 834.7439917494139}
Produced: {'sensor_id': 'reactor_core', 'temp': 1144.5132661933067}
Produced: {'sensor_id': 'reactor_core', 'temp': 1138.0511780779034}
Produced: {'sensor_id': 'reactor_core', 'temp': 1303.9349275920554}
Produced: {'sensor_id': 'reactor_core', 'temp': 874.9165871442315}
Produced: {'sensor_id': 'reactor_core', 'temp': 1265.273500911261}
Produced: {'sensor_id': 'reactor_core', 'temp': 1362.1218553244862}
Produced: {'sensor_id': 'reactor_core', 'temp': 624.770964374666}
Produced: {'sensor_id': 'reactor_core', 'temp': 1145.6438327750398}
